Symbol	Description
IQD	CI Wisdomtree Intl Qlty Divd Growth Index ETF
IQD.B	CI Wisdomtree Intl Qlty Divd Growth Index ETF
IS	Infrastructure Dividend Split Corp
IS.PR.A	Infrastructure Dividend Split Corp
ISC	Information Services Corp
ISCB	IA Clarington Strategic Corporate Bond Fund
ISO	Isoenergy Ltd
ISTE	Invesco S&P 500 ESG Tilt Index ETF
ISTE.F	Invesco SP 500 ESG Tilt Index Hdg ETF
ITH	International Tower Hill Mines Ltd
ITR	
IUAE	Invesco SP US Div Aristocrt ESG ETF
IUCE	Invesco SP US Total Mkt ESG Idx ETF
IUFR.U	Invesco US TR FL Rate Note Idx US ETF
IUMF	Invesco Russell 1000 Dyn Mf Idx ETF
IUMF.F	Invesco Russell 1000 Dyn Mf Idx ETF Ch
IUTE	Invesco SP US Total Mkt ESG Tilt ETF
IVN	Ivanhoe Mines Ltd
IVQ	Invesque Inc CAD
IVQ.NT.U	Invesque Inc 9.75 Pct Debs USD
IVQ.U	Invesque Inc
IWBE	Invesco ESG Global Bond ETF
IXTE	Invesco SP TSX 60 ESG Tilt Index ETF
JAG	Jaguar Mining Inc
JAPN	CI Wisdomtree Japan Equity Index ETF
JAPN.B	CI Wisdomtree Japan Equity Index ETF
JAVA	Jpmorgan U.S. Value Active ETF
JCOR	Jpmorgan US Core Active ETF
JEPI	JPM US Equity Premium Income ETF
JEPQ	JPM Nasdaq Equity Premium Income ETF
JFS.UN	Jft Strategies Fund
JGLO	
JGRO	Jpmorgan U.S. Growth Active ETF
JOY	Journey Energy Inc
JWEL	Jamieson Wellness Inc
K	Kinross Gold Corp
KBL	Kbro Linen Inc
KEC	Kiwetinohk Energy Corp
KEG.UN	Keg Royalties Income Fund
KEI	Kolibri Global Energy Inc
KEL	Kelt Exploration Ltd
KEY	Keyera Corp
KEY.R	Keyera Corp. Subscription Receipts
KILO	Purp Gold Bullion Tu
KILO.B	Purpose Gold Bullion Fund Non Hedged
KILO.U	Purpose Gold Bullion Fund Non Hedged USD
KITS	Kits Eyecare Ltd
KLS	Kelso Technologies Inc
KMP.UN	Killam Apartment REIT
KNGC	Brompton Canadian Cash Flow Kings ETF
KNGU	Brompton US Cash Flow Kings ETF
KNGX	Brompton Intl Cash Flow Kings ETF
KNT	K92 Mining Inc
KPT	Kp Tissue Inc
KRN	Karnalyte Resources Inc
KSI	Kneat.com Inc
KXS	Kinaxis Inc
L	Loblaw CO
LABS	Medipharm Labs Corp
LAC	Lithium Americas Corp
LAM	Laramide Resources Ltd
LAR	Lithium Argentina Ag
LAS.A	Lassonde Industries Inc Cl A Sv
LB	Laurentian Bank
LB.PR.H	Laurentian Bank of Cda Pr Ser 13
LBIT	Evolve Levered Bitcoin ETF
LBS	Life & Banc Split Corp
LBS.PR.A	Life & Banc Split Corp
LCFS	Tidewater Renewables Ltd
LCS	Brompton Lifeco Split Corp Class A
LCS.PR.A	Brompton Lifeco Split Corp Pref Shares
LEAD	Evolve Future Leadership ETF Hedged
LEAD.B	Evolve Future Leadership ETF Unhedged
LEAD.U	Evolve Future Leadership ETF Uh USD
LETH	Evolve Levered Ether ETF
LETH.U	Evolve Levered Ether Unhg ETF USD
LFE	Canadian Life Companies Split Corp
LFE.PR.B	Canadian Life Split 2012 Pref Sh
LGD	Liberty Gold Corp
LGO	Largo Resources Ltd
LIF	Labrador Iron Ore Royalty Corp
LIFE	Evolve Global Healthcare Enhance Yld ETF
LIFE.B	Evolve Global Healthcare Enhance Yld Unheg
LIFE.U	Evolve Global Healthcare Yld Fund ETF USD
LIRC	Lithium Royalty Corp WI
LITH	
LLHE	Harvest Eli Lilly Enhanced High Income S
LLHE.U	Harvest Eli Lilly Enh HI Shs ETF USD
LLYH	Harvest Eli Lilly High Income Shares ETF
LLYH.U	Harvest Eli Lilly High Income Shares ETF
LMAX	Hamilton Healthcare Yield Maximizer ETF
LMN	
LN	Loncor Gold Inc
LNF	Leons Furniture
LNR	Linamar Corp
LONG	CI Global Longevity Economy Fund ETF
LOVE	
LPAY	GX Long-Term U.S. Treasury Prem Yld ETF
LPAY.U	GX Long-Term U.S. Treasury Prem Yld ETF USD
LPC	
LSPD	Lightspeed Commerce Inc.
LSTR	
LUC	Lucara Diamond Corp
LUG	Lundin Gold Inc
LUN	Lundin Mining Corp
LYCT	Lysander Canso Corp Treasury Activ ETF
LYFR	Lysander-Canso Floating Rate Activetf
MAAA	Mackenzie AAA Clo ETF
MAG	MAG Silver Corp
MAL	Magellan Aero
MALX	
MAR-UN	
MARI	Marimaca Copper Corp
MART	Global X Equal Weight Canadian Groceries & Stapl
MATR	Mattr Corp
MAU	Montage Gold Corp
MAYB.F	First Trust CBOE Vst US Eq Bf Hg ETF May
MAZ-H	
MBAL	Mackenzie Balanced Allocation ETF
MBX	Microbix J
MCAD	Premium Cash Management Fund ETF
MCAN	Manulife Canadian Equity Class ETF
MCB	Mccoy Global Inc
MCLC	Manulife Mltfactor CDN Large Cap Uh ETF
MCLV	Mackenzie Canada Low Volatility ETF
MCM-A	
MCON	Mackenzie Conservative Allocation CAD ETF
MCSB	Mackenzie CDN Short Term Fixed Inc ETF
MCSM	Manulife Mulfact CDN Smid Cap Idx ETF
MDA	Mda Ltd
MDI	Major Drilling Grp
MDIF	Manulife Dividend Income Fund ETF
MDIV	Middlefield Sustainable Global Dividend
MDNA	Medicenna Therapeutics Corp
MDP	Medexus Pharmaceuticals Inc
MDS.UN	Healthcare Special Opp Fund
MEDX	Global X Eql Wght Glbl Healthcr Indx ETF
MEG	Meg Energy Corp
MEGO-P	
MEME.B	Manulife Multifactor Emerg Mkts Idx ETF
MEQ	Mainstreet Eq J
MEQT	Mackenzie All Equity Allocation ETF
MER	Africa Oil Corp
META	Meta Cdr [Cad Hedged]
METE	Harvest Meta Enhd High Income Shares ETF
MFC	Manulife Fin
MFC.PR.B	Manulife Financial Cl A Pref Ser 2
MFC.PR.C	Manulife Financial Cl A Pref Ser 3
MFC.PR.F	Manulife Financial Cl 1 Sh Ser 3
MFC.PR.I	Manulife Financial Pref Ser 9
MFC.PR.J	Manulife Financial Class 1 Ser 11
MFC.PR.K	Manulife Financial Pref Ser 13
MFC.PR.L	Manulife Financial Pref Ser 15
MFC.PR.M	Manulife Financial Pref Ser 17
MFC.PR.N	Manulife Financial Pref Ser 19
MFC.PR.P	Manulife Financial Class 1 Sh Ser 4
MFC.PR.Q	Manulife Financial Corp Pref Series 25
MFI	Maple Leaf Foods
MFT	Mackenzie Floating Rate Income ETF
MFUN	Manulife Fundamental Equity Fund ETF
MG	Magna International Inc
MGA	Mega Uranium Ltd
MGAB	Mackenzie Global Fixed Income Alloc ETF
MGB	Mackenzie Core Pls Glob Fixed Inc ETF
MGDV	Mackenzie Global Dividend ETF
MGQE	Mackenzie Global Equity ETF
MGRW	Mackenzie Growth Allocation ETF
MHC.U	Flagship Communities Real Estate Investm
MHC.UN	Flagship Communites REIT
MHCD	Middlefield Healthcare Dividend ETF
MI.UN	Minto Apartment REIT
MIC.PR.A	Sagen MI Canada Inc
MID.UN	Mint Income Fund
MIDB	Evolve Enh Yld Mid Term Bnd Fund Hgd ETF
MIDB.B	Evolve Enh Yld Mid Term Bnd Fund Unh ETF
MIDB.U	Evolve Enh Yld MD Trm Bd Fnd Unh ETF USD
MINF	Middlefield Sustainable Infrastructure D
MINT	Manulife Mltfactor Dev Intl Hgd ETF
MINT.B	Manulife Mltfactor Dev Intl Uh ETF
MIQE	Mackenzie International Equity ETF
MIVG	Mackenzie Ivy Global Equity ETF
MIX	Hamilton Enhanced Mixed Asset ETF
MKB	Mackenzie Core Pls CDN Fixed Income ETF
MKO	
MKP	Mcan Mortgage Corp
MKZ.UN	Mackenzie Mstr Un
MMP.UN	Precious Metals and Mining Trust
MND	Mandalay Resources Corp
MNO	Meridian Mining UK Societas
MNS	Royal CDN Mint CDN Silver Reserves Etr
MNS.U	Royal CDN Mint CDN Svr Reserves Etr USD
MNT	Royal Canadian Mint CDN Gold Reserves
MNT.U	Royal Canadian Mint CDN Gld Reserves USD
MNU.U	Purpose USD Cash Management Fnd ETF USD
MNXT	Mackenzie Bluewater Next Gen Grwth ETF
MNY	Purpose Cash Management Fund ETF
MOGO	Mogo Inc
MORE	Mackenzie Core Resources ETF
MPAY	GX Mid-Term U.S. Treasury Prem Yld ETF
MPAY.U	GX Mid-Term U.S. Treasury Prem Yld ETF USD
MPC	Madison Pac Cl B
MPC.C	Madison Pacific Properties Inc Cl C NV
MPCT.DB.A	Dream Impact Trust 5.75%
MPCT.UN	Dream Impact Trust Units
MPVD	Mountain Province Diamonds Inc
MPY	Mulvihill Premium Yield Fund ETF
MRC	Morguard Corp
MRD	Melcor Dev
MRE	Martinrea International Inc
MREL	Middlefield Real Estate Dividend ETF
MRG.DB.B	Morguard Na REIT 6.00 Pct Debs
MRG.UN	Morguard Na Residential REIT Units
MRT.DB.A	Morguard REIT 5.25 Pct Debs
MRT.UN	Morguard Un
MRU	Metro Inc
MSA	Mineros S.A.
MSCL	Satellos Bioscience Inc
MSFH	Harvest Microsoft High Income Shares ETF
MSFH.U	Harvest Microsoft High Income Shares ETF
MSFT	Microsoft Canadian Depositary Receipts [Cad Hedg
MSFU	Savvylong 2X Msft ETF
MSHE	Harvest Microsoft Enhanced High Income S
MSHE.U	Harvest Microsoft Enhanced High Income S
MSP	
MSR	
MSTE	Harvest Microstrategy Enh Hg Incm Sh ETF
MSTU	
MSTY	Harvest Microstrategy High Incm Shrs ETF
MSV	Minco Silver Corp
MTL	Mullen Group Ltd
MTL.DB	Mullen Group Ltd 5.75 Pct Debs
MTRX	Global X Artificial Intel Infra Indx ETF
MTT	
MTY	Mty Food Group Inc
MUB	Mackenzie Unconstrained Bond ETF
MULC	Manulife Mltfactor US Large Cap Hgd ETF
MULC.B	Manulife Mltfactor US Large Cap Uh ETF
MULV	Mackenzie US Low Volatility ETF
MUMC	Manulife Mltfactor US Mid Cap Hgd ETF
MUMC.B	Manulife Mltfactor US Mid Cap Uh ETF
MUSA	Middlefield U.S. Equity Dividend ETF
MUSC	Manulife Multifactor U.S. Small Cap Index ETF
MUSC.B	Manulife Mulfact US Scap Idx ETF Unheg
MUX	Mcewen Mining Inc
MWLV	Mackenzie World Low Volatility ETF
MX	Methanex Corp
MXG	Maxim Power Corp
NA	National Bank of Canada
NA.PR.C	National Bank Pref Ser 38
NA.PR.E	National Bank Pref Series 40
NA.PR.G	National Bank Pref Series 42
NA.PR.I	National Bank Pref Series 47
NA.PR.K	National Bank Pref Series 49
NA.PR.S	National Bank Pref Ser 30
NALT	NBI Liquid Alternatives ETF
NANO	Nano One Materials Corp
NCF	Northcliff Resources Ltd
NDIV	NBI Canadian Dividend Income ETF
NDM	Northern Dynasty Minerals Ltd
NEO	NEO Performance Materials Inc
NET-UN	
NEXT	Nextsource Materials Inc
NFD-A	
NFI	Nfi Group Inc.
NFI.DB	Nfi Group Inc 5 Pct Debs
NFLY	Harvest Netflix Enhd Hgh Income Shrs ETF
NG	Novagold Res Inc
NGD	New Gold Inc
NGDN	Savvyshort Geared Natural Gas ETF
NGEX	Ngex Minerals Ltd
NGPE	NBI Global Private Equity ETF
NGT	Newmont Corp
NGUP	Savvylong Geared Natural Gas ETF
NHYB	NBI High Yield Bond ETF
NICU	
NINT	NBI Active International Equity ETF
NKW-H	
NOA	North American Construction Group Ltd
NOA.DB.A	Na Construction Grp Ltd 500% Conv. Unsec. Sub DE
NOB	
NOU	Nouveau Monde Graphite Inc
NOVB.F	FT CBOE Vest US Eqty Buffer November ETF
NPI	Northland Power Inc
NPI.PR.A	Northland Power Pref Equity Inc
NPI.PR.B	Northland Power Inc Pref Ser 2
NPK	Verde Agritech Plc
NPRF	NBI Active Canadian Preferred Sh ETF
NPS	Canadian Large Cap Leaders Split Corp
NPS.PR.A	Canadian Lrg Cap Ldr Split Corp Pref Ser
NREA	NBI Global Real Assets Income ETF
NRGD	Betapro S&P TSX Cap Engy 2X Dly Bear ETF
NRGU	Betapro S&P TSX Cap Engy 2X Dly Bull ETF
NRGY	Global X Equal Wght CDN Oil Gas Indx ETF
NRR.UN	Northview Residential REIT
NSCB	NBI Sustainable Canadian Bond ETF
NSCC	NBI Sustainable CDN Corporate Bond ETF
NSCE	NBI Sustainable Canadian Equity ETF
NSGE	NBI Sustainable Global Equity ETF
NSSB	NBI Sustainable CDN Short Term Bond ETF
NTR	Nutrien Ltd
NUAG	New Pacific Metals Corp
NUBF	NBI Unconstrained Fixed Income ETF
NUSA	NBI Active US Equity ETF
NVA	Nuvista Energy Ltd
NVDA	Nvidia Cdr (Cad Hedged)
NVDD	
NVDH	Harvest Nvidia High Income Shares ETF (C
NVDH.U	Harvest Nvidia High Income Shares ETF (C
NVDU	Savvylong 2X Nvda ETF
NVHE	Harvest Nvidia Enhanced High Income Shar
NVHE.U	Harvest Nvidia Enhanced HI Shs ETF USD
NVN-P	
NVO	Novo Resources Corp
NWC	The North West Company Inc
NWH.DB.H	Northwest Hc Prop REIT 6.25 Pct Dbs
NWH.DB.I	Northwest Hc Prop REIT 7.75 Pct Dbs
NWH.UN	Northwest Healthcare Prop REIT
NXE	Nexgen Energy Ltd
NXF	CI Energy Giants Cov Call ETF
NXF.B	CI Energy Giants ETF Unhedged
NXF.U	CI Energy Giants Covered Call ETF
NXLV	
NXR.UN	Nexus Real Estate Investment Trust
NXTG	First Trust Indxx Nextg ETF
OBE	Obsidian Energy Ltd
OGC	Oceanagold Corp
OGD	Orbit Garant Drilling Inc
OGI	Organigram Holdings Inc
OGN	
OILY	Evolve Canadian Energy Enhanced Yield IN
OLA	Orla Mining Ltd
OLY	Olympia Financial Group Inc
OM	
ONC	Oncolytics Bio
ONEB	CI One North American Core Plus Bond ETF
ONEC	Accelerate Onechoice Altnv Portfolio ETF
ONEQ	CI One Global Equity ETF
ONEX	Onex Corp
OPT	Optiva Inc
OR	Osisko Gold Royalties Ltd
ORA	Aura Minerals Inc
ORE	Orezone Gold Corp
ORV	Orvana Minerals J
OTEX	Open Text Corp
OVV	Ovintiv Inc
PAAS	Pan American Silver Corp
PABF	Purpose Actv Balanced Fund ETF
PACF	Purpose Actv Conservative Fund ETF
PAGF	Purpose Actv Growth Fund ETF
PAYF	Purpose Enhanced Premium Yield Fund ETF
PAYL	Global X Long Term Gov Bond Prem Yld ETF
PAYM	Global X Mid Term Govt Bond Prem Yld ETF
PAYS	Global X Short-Term Government Bond Premium Yiel
PBD	Purpose Total Return Bond Fund ETF
PBH	Premium Brands Holdings Corp
PBH.DB.H	Premium Brands Holdings 4.20 Pct Debs
PBH.DB.I	Premium Brands Hldngs Corp 5.40 Pct Debs
PBH.DB.J	Premium Brands Holdings Corporation 5.50%
PBI	Purpose Best Ideas Fund ETF
PBI.B	Purpose Best Ideas Fund Non Hdg
PBL	Pollard Banknote Ltd
PBY.UN	Canso Credit Income Fund Units
PCON	Pimco Managed Conservative Bond Pool ETF
PCOR	Pimco Managed Core Bond Pool ETF
PCRX	
PD	Precision Drilling Corp
PDC	Invesco CDN Div Idx ETF
PDF	Purpose Core Dividend Fund ETF
PDIV	Purpose Enhanced Dividend Fund ETF
PDN	Paladin Energy Ltd
PDV	Prime Dividend Corp Cl A
PDV.PR.A	Prime Dividend Corp Pref
PET	Pet Valu Holdings Ltd
PEY	Peyto Exploration and Dvlpmnt Corp
PFAA	Picton Mahoney Fortified Alpha Alt ETF
PFAE	Picton Mahoney Fort Act Ext Alt Fund ETF
PFCB	Picton Mahoney Fortified Core Bond ETF
PFCO	Picton Credit Opportnts Alternt Fund ETF
PFH.F	Invesco HY Corp Bond Index ETF
PFIA	Picton Mahoney Fort Income Alt Fund ETF
PFL	Powershares 1 To 3 Yr Lad Float Rate ETF
PFLS	Picton Mahoney Frt Lng Shrt Alt Fund ETF
PFMN	Picton Mahoney Fort Mkt Neutral Fund ETF
PFMS	Picton Mahoney Multi Strat Alt Fund ETF
PGI.UN	Pimco Global Inc Opportunities Fund
PGIC	Premium Global Income Split Corp
PGIC.PR.A	Premium Global Income Split Corp. Preferred Shar
PHE	Purpose Tactical Hedged Equity Fund ETF
PHE.B	Purpose Tactical Hedged Equity Fund ETF
PHR	Purpose Duration Hedged Real Estate ETF
PHX	Phx Energy Services Corp
PHYS	Sprott Physical Gold Trust CAD
PHYS.U	Sprott Physical Gold Trust USD
PIC.A	Premium Income A
PIC.PR.A	Premium Income Pr
PID	Purpose Intl Dividend Fund ETF
PIF	Polaris Infrastructure Inc
PIN	Purpose Monthly Income Fund ETF
PINC	Purpose Multi Asset Income Fund
PINV	Purpose Global Innovators Fund
PKI	Parkland Fuel Corp
PKT	
PLAN	
PLDI	Pimco Low Duration Monthly Inc ETF
PLTE	Harvest Palantir Enhd High Incm Shrs ETF
PLV	Invesco Low Vol Portfolio ETF
PLZ.UN	Plaza Retail REIT
PME	Sentry Select Primary Metals Corp
PMEI.UN	Pimco Monthly Enhanced Income Fund
PMET	Patriot Battery Metals Inc
PMIF	Pimco Monthly Income Fund
PMIF.U	Pimco Monthly Income Fund
PMM	Purpose Multi Strategy Mkt Neutral Fund
PMNT	Pimco Global Short Maturity Fund ETF
PMZ.UN	Primaris REIT
PNC.A	Postmedia Network Canada Corp Cl A
PNE	Pine Cliff Energy Ltd
PNP	Pinetree Capital Ltd
POU	Paramount Resources Ltd
POW	Power Corp of Canada Sv
POW.PR.A	Power Corp A Pr
POW.PR.B	Power Corp Pref Shares Series B
POW.PR.C	Power Corp of Canada 5.80%
POW.PR.D	Power Corp Non-Cum 1st Pfd Shs Ser D
POW.PR.E	Power Corp Part Pr
POW.PR.G	Power Corp of Canada 5.60 Pct Pref Ser G
PPL	Pembina Pipeline Corp
PPL.PF.A	Pembina Pipeline Corp Pref Ser 21
PPL.PF.E	Pembina Pipeline Corp Pref Series 25
PPL.PR.A	Pembina Pipeline Corp Pref Class A
PPL.PR.C	Pembina Pipeline Corp Pref Ser 3
PPL.PR.E	Pembina Pipeline Corp Pref Ser 5
PPL.PR.G	Pembina Pipeline Corp Pref Ser 7
PPL.PR.I	Pembina Pipeline Corp Pref Ser 9
PPL.PR.O	Pembina Pipeline Corp Pref Series 15
PPL.PR.Q	Pembina Pipeline Corp Pref Series 17
PPLN	Global X Pipeline Energy Service Idx ETF
PPR	Prairie Provident Resources Inc
PPTA	Perpetua Resources Corp
PR	Lysander Slater Pref Share Activ ETF
PRA	Purpose Diversified Real Asset Fund ETF
PRB	Probe Gold Inc
PREF	Quadravest Preferred Split Share ETF
PRL	Propel Holdings Inc
PRM	Big Pharma Split Corp
PRM.PR.A	Big Pharma Split Corp Pref Shares
PRN	Profound Medical Corp
PRP	Purpose Conservative Income Fund
PRQ	Petrus Resources Ltd
PRU	Perseus Mining Ltd
PRV.DB	Pro Real Estate Investment TR 8 Pct Debs
PRV.UN	Pro Real Estate Investment Trust
PRYM	Prime Mining Corp
PSA	Purpose High Interest Savings ETF
PSB	Invesco 1 To 5 Yrladder Inv Grd Bd ETF
PSD	Pulse Seismic Inc
PSI	Pason Systems Inc
PSK	Prairiesky Royalty Ltd
PSLV	Sprott Physical Silver Trust CAD
PSLV.U	Sprott Physical Silver Trust USD
PSU.U	Purpose US Cash ETF
PTM	Platinum Group Metals Ltd
PVF-UN	
PVS.PR.G	Partners Value Split Corp
PVS.PR.H	Partners Value Split Corp Pref Ser 10
PVS.PR.J	Partners Value Split Corp
PVS.PR.K	Partners Value Split Corp Pref Ser 13
PVS.PR.L	Partners Value Split Corp
PVS.PR.M	Partners Value Split Corp Pref Ser 15
PWF.PF.A	Power Financial Corporation
PWF.PR.A	Power Fin Ser A Pr
PWF.PR.E	Power Fin Ser D Pr
PWF.PR.F	Power Financial Corp Pref Ser E
PWF.PR.G	Power Financial Corp 5.90% Pr Series F
PWF.PR.H	Power Financial Corp 5.75% Pr Series H
PWF.PR.K	Power Fin Corp 4.95% Ser K
PWF.PR.L	Power Financial Corp Series L Pfd
PWF.PR.O	Power Financial Corp 5.80 Pref Ser O
PWF.PR.P	Pwr Fnl Corp 4.40 Non Cumul Pref Ser P
PWF.PR.Q	Power Fin Corp 4.40 Pct Pref Ser Q
PWF.PR.R	Power Financial Corp 5.5 Pct Pref Ser R
PWF.PR.S	Power Financial Corp Pref Ser S
PWF.PR.T	Power Financial Corp 4.20 Pct Pref Ser T
PWF.PR.Z	Power Financial Corp 5.15 Pct Pref Ser V
PWI	Sustainable Power Infra Split Corp Cl A
PWI.PR.A	Sustainable Power Infra Split Corp Pr A
PXC	Invesco FTSE RAFI CAD Idx ETF
PXS	Pwrshr FTSE RAFI US Fdamntl ETF II
PXS.U	Invesco FTSE RAFI U.S. Index ETF II
PXT	Parex Resources Inc
PXU.F	Invesco FTSE RAFI US Idx ETF
PYF	Purpose Premium Yield Fund ETF
PYF.B	Purpose Premium Yield Fund Non Hdg ETF
PYF.U	Purpose Premium Yield Fund NH USD ETF
PYR	Pyrogenesis Canada Inc
PZA	Pizza Pizza Royalty Corp
PZW	Pwrshr FTSE RAFI Glb Sml Mid Fdamntl ETF
PZW.F	Invesco FTSE RAFI Glb Small Mid Hedge
PZW.U	Invesco FTSE RAFI Glb Small Mid USD
QAH	Mackenzie US Large Cap Eqty Idx CAD Hgd
QASH	Mackenzie CDN Ultra Short Bond Index ETF
QBB	Mackenzie CDN Aggregate Bond Index ETF
QBR.A	Quebecor Inc Cl A Mv
QBR.B	Quebecor Inc Cl B Sv
QBTC	The Bitcoin Fund CAD
QBTC.U	The Bitcoin Fund
QBTL	Agfiq US Mkt Neut Antibeta CAD Hdg ETF
QCE	Mackenzie CDN Large Cap Equity Index ETF
QCLN	First Trust Nsdq Cln Edg Green Enrgy ETF
QCN	Mackenzie Canadian Equity Index ETF
QDX	Mackenzie International Equity Index ETF
QDXB	Mackenzie Dev Ex Na Agg Bond Idx Hgd ETF
QDXH	Mackenzie Intl Equity Index ETF CAD Hgd
QEBH	Mackenzie Emerging Mkts Bond Index ETF
QEBL	Mackenzie Emerging Mkts Local Cur Bd ETF
QEC	Questerre Energy Corp
QEE	Mackenzie Emerging Mkts Equity Index ETF
QETH.U	Ether Fund [The]
QETH.UN	The Ether Fund
QHY	Mackenzie US High Yld Bnd Idx CAD Hgd
QINF	Mackenzie Global Infrastructure Indx ETF
QIPT	Quipt Home Medical Corp
QLB	Mackenzie CDN Govt Long Bond Index ETF
QMAX	Hamilton Technology Yield Maximizer ETF
QQC	Invesco Nasdaq 100 Index ETF
QQC.F	Invesco QQQ Index ETF
QQCC	GX Nasdaq-100 Covered Call ETF
QQCE	Invesco ESG Nasdaq 100 Idx ETF
QQCE.F	Invesco ESG Nasdaq 100 Idx ETF Hdg
QQCI	Invesco Nasdaq 100 Income Advantage ETF
QQCL	GX Enhanced Nasdaq-100 Covered Call ETF
QQD	Betapro Nasdaq 100 2X Daily Bear ETF
QQD.U	Betapro Nasdaq-100 -2X Daily Bear ETF
QQEQ	Invesco Nasdaq 100 Equal Weight Indx ETF
QQEQ.F	Invesco Nasdaq 100 Eql Weight Idx HD ETF
QQJE	Invesco ESG Nas Next Gen 100 Idx ETF
QQJR	Invesco Nasdaq Next Gen 100 Index ETF
QQQD	Megashort -3X Nasdaq 100 Dly Lvg Alt ETF
QQQL	Global X Enhanced Nasdaq-100 Index ETF
QQQQ	
QQQT	Evolve Nasdaq Tech Index Fnd Hedgd ETF
QQQT.B	Evolve Nasdaq Tech Index Fnd Unhegd ETF
QQQT.U	Evolve Nasdaq Technology Index Fund
QQQU	Megalong 3X Nasdaq 100 Dly Lvg Alt ETF
QQQX	Global X Nasdaq 100 Index ETF
QQQX.U	Global X Nasdaq-100 Index ETF
QQQY	Evolve Nasdaq Tech Enh Yld Indx Fund ETF
QQU	Betapro Nasdaq 100 2X Daily Bull ETF
QRC	Queens Road Capital Investment Ltd
QRET	Mackenzie Dev Mkts Real Estate Index ETF
QSB	Mackenzie CDN Short Term Bond Index ETF
QSP.UN	Restaurant Brands Intl Ltd Partnership
QSR	Restaurant Brands International Inc
QTLT	Mackenzie US Govt Long Bond Index ETF
QTRH	Quarterhill Inc
QTRH.DB	Quarterhill Inc 6 Pct Debs
QUB	Mackenzie US Aggregate Bond Indx Hgd ETF
QUIG	Mackenzie US Inv Grd Corp Bd Idx CAD Hgd
QUU	Mackenzie US Large Cap Equity Index ETF
QXM	CI Morningstar Nb Quebec ETF
RAAA	Corton Enhanced Income Fund ETF
RATE	Arrow Ec Income Advantage Alt Fund ETF
RAV.UN	Ravensource Fund
RAY.A	Stingray Digital Group Inc Sv
RAY.B	Stingray Digital Group Inc Variable Sv
RBA	Rb Global Inc
RBN.UN	Blue Ribbon Income Fund
RBNK	RBC CDN Bank Yield Index ETF
RBO	RBC 1 To 5 Yr Laddered Corp Bond ETF
RBOT	GX Robotics & Ai Index ETF
RBOT.U	GX Robotics & Ai Index ETF USD
RBY	Rubellite Energy Inc
RCD	RBC Quant CDN Dividend Leaders ETF
RCDC	RBC Canadian Dividend Covered Call ETF
RCG	RF Capital Group Inc
RCG.PR.B	RF Capital Group Inc Pref B
RCH	Richelieu Hardware Ltd
RCI.A	Rogers Communications Inc Cl A Mv
RCI.B	Rogers Communications Inc Cl B NV
RDBH	RBC US Discount Bond CAD Hedged ETF
REAL	Real Matters Inc
RECO	
REI.UN	Riocan Real Est Un
REIT	Global X Equal Weight CDN Reits Indx ETF
RET-A	
REVV	
RGBM	Return Stacked Global Balanced Macro ETF
RGQN	RBC Target 2025 Government Bond ETF
RGQO	RBC Target 2026 Government Bond ETF
RGQP	RBC Target 2027 Government Bond ETF
RGQQ	RBC Target 2028 Government Bond ETF
RGQR	RBC Target 2029 Government Bond ETF
RGQS	RBC Target 2030 CDN Government Bond ETF
RGQT	RBC Target 2031 CDN Government Bond ETF
RID	RBC Quant EAFE Div Leaders ETF
RID.U	RBC Quant EAFE Div Leaders USD ETF
RIDH	RBC Quant EAFE Div Leaders ETF
RIFI	Russell Invt Fixed Income Pool ETF
RIGE	Russell Investments Glb Equity Pool ETF
RIIN	Russell Invt Global Infr Pool ETF
RING	Global X Eql Wght CDN Telecom Indx ETF
RIRA	Russell Invt Real Assets ETF
RIT	CI Canadian REIT ETF
RLB	RBC 1 To 5 Year Laddered Can Bond ETF
RLP	
RMAX	Hamilton Reits Yield Maximizer ETF Class
RNCC	Global X Eql Wght CDN Telecom Cvcl ETF
RNCL	Global X Enhd Eql Wgt CDN Telcm Cvcl ETF
ROMJ	
ROOT	Roots Corp
RPD	RBC Quant European Div Leaders ETF
RPD.U	RBC Quant European Div Leaders ETF USD
RPDH	RBC Quant European Div Leaders ETF
RPF	RBC Canadian Pref Share ETF
RPI.UN	Richards Packaging Income Fund
RPR.DB	Ravelin Properties REIT 9.00 Pct Debs
RPR.DB.A	Ravelin Properties REIT 5.50 Pct Debs
RPR.DB.B	Ravelin Properties REIT 7.50 Pct Debs
RPR.UN	Ravelin Properties REIT
RPSB	RBC Phn Short Term CDN Bond ETF
RQN	RBC Target 2025 Corp Bond Index ETF
RQO	RBC Target 2026 Corporate Bond Index ETF
RQP	RBC Target 2027 Corporate Bond Index ETF
RQQ	RBC Target 2028 Corporate Bond Index ETF
RQR	RBC Target 2029 Corporate Bond Index ETF
RQS	RBC Target 2030 CDN Corp Bond Index ETF
RQT	RBC Target 2031 CDN Corporate Bond ETF
RS	Real Estate Split Corp
RS.PR.A	Real Estate Split Corp Pfd A
RSI	Rogers Sugar Inc
RSI.DB.G	Rogers Sugar Inc 6 Pct Debs
RSS	
RTE	
RTG	Rtg Mining Inc
RTM	
RUA	
RUBH	RBC US Banks Yield CAD Hgd Index ETF
RUBY	RBC US Banks Yield Index ETF CAD
RUCC-P	
RUD	RBC Quant US Div Leaders ETF
RUD.U	RBC Quant US Div Leaders USD ETF
